source_id,filename,source_class,branch,section,equation_identifier,equation_text,variables,assumptions,dependencies,claimed_result,current_status,canonical_match,external_match,executable,verification_status,falsification_status,promotion_candidate
UNREAD-Spectral_Emergence_F,Spectral_Emergence_Framework_Specification.docx,B (not deep-read this campaign),unassessed,not read this campaign,n/a,n/a,n/a,n/a,n/a,not assessed,NOT DEEPLY READ THIS CAMPAIGN,n/a,n/a,n/a,"File was full-text-extracted (pdftotext/python-docx) and its title/abstract/structure was scanned for red-flag numerology patterns (grep sweep found no additional 'exact value' claims in this file matching the DTC COMPILER.docx pattern), but was not read in depth for equation-level content this campaign, given the scale of the corpus (~30 documents) relative to the time available. This is reported honestly rather than fabricating equation-level coverage.",not assessed,NO (insufficient inspection)
UNREAD-Spectral Equations R,Spectral Equations Random.docx,B (filename itself signals a scratch/dump document; not deep-read this campaign),unassessed,not read this campaign,n/a,n/a,n/a,n/a,n/a,not assessed,NOT DEEPLY READ THIS CAMPAIGN,n/a,n/a,n/a,"File was full-text-extracted (pdftotext/python-docx) and its title/abstract/structure was scanned for red-flag numerology patterns (grep sweep found no additional 'exact value' claims in this file matching the DTC COMPILER.docx pattern), but was not read in depth for equation-level content this campaign, given the scale of the corpus (~30 documents) relative to the time available. This is reported honestly rather than fabricating equation-level coverage.",not assessed,NO (insufficient inspection)
UNREAD-Unified Spectral Cod,Unified Spectral Codex.pdf,B (not deep-read this campaign),unassessed,not read this campaign,n/a,n/a,n/a,n/a,n/a,not assessed,NOT DEEPLY READ THIS CAMPAIGN,n/a,n/a,n/a,"File was full-text-extracted (pdftotext/python-docx) and its title/abstract/structure was scanned for red-flag numerology patterns (grep sweep found no additional 'exact value' claims in this file matching the DTC COMPILER.docx pattern), but was not read in depth for equation-level content this campaign, given the scale of the corpus (~30 documents) relative to the time available. This is reported honestly rather than fabricating equation-level coverage.",not assessed,NO (insufficient inspection)
UNREAD-Theory of Everything,Theory of Everything Equation Set.docx,"B (not deep-read this campaign; largest raw equation-dump document by size, 903KB)",unassessed,not read this campaign,n/a,n/a,n/a,n/a,n/a,not assessed,NOT DEEPLY READ THIS CAMPAIGN,n/a,n/a,n/a,"File was full-text-extracted (pdftotext/python-docx) and its title/abstract/structure was scanned for red-flag numerology patterns (grep sweep found no additional 'exact value' claims in this file matching the DTC COMPILER.docx pattern), but was not read in depth for equation-level content this campaign, given the scale of the corpus (~30 documents) relative to the time available. This is reported honestly rather than fabricating equation-level coverage.",not assessed,NO (insufficient inspection)
UNREAD-Unified Field Theory,Unified Field Theory.docx,B (not deep-read this campaign),unassessed,not read this campaign,n/a,n/a,n/a,n/a,n/a,not assessed,NOT DEEPLY READ THIS CAMPAIGN,n/a,n/a,n/a,"File was full-text-extracted (pdftotext/python-docx) and its title/abstract/structure was scanned for red-flag numerology patterns (grep sweep found no additional 'exact value' claims in this file matching the DTC COMPILER.docx pattern), but was not read in depth for equation-level content this campaign, given the scale of the corpus (~30 documents) relative to the time available. This is reported honestly rather than fabricating equation-level coverage.",not assessed,NO (insufficient inspection)
UNREAD-MasterRosettaStone T,MasterRosettaStone TOE Paper.pdf,B (not deep-read this campaign),unassessed,not read this campaign,n/a,n/a,n/a,n/a,n/a,not assessed,NOT DEEPLY READ THIS CAMPAIGN,n/a,n/a,n/a,"File was full-text-extracted (pdftotext/python-docx) and its title/abstract/structure was scanned for red-flag numerology patterns (grep sweep found no additional 'exact value' claims in this file matching the DTC COMPILER.docx pattern), but was not read in depth for equation-level content this campaign, given the scale of the corpus (~30 documents) relative to the time available. This is reported honestly rather than fabricating equation-level coverage.",not assessed,NO (insufficient inspection)
UNREAD-Unified_Rosetta_Ston,Unified_Rosetta_Stone_TOE_v3.docx,B (not deep-read this campaign),unassessed,not read this campaign,n/a,n/a,n/a,n/a,n/a,not assessed,NOT DEEPLY READ THIS CAMPAIGN,n/a,n/a,n/a,"File was full-text-extracted (pdftotext/python-docx) and its title/abstract/structure was scanned for red-flag numerology patterns (grep sweep found no additional 'exact value' claims in this file matching the DTC COMPILER.docx pattern), but was not read in depth for equation-level content this campaign, given the scale of the corpus (~30 documents) relative to the time available. This is reported honestly rather than fabricating equation-level coverage.",not assessed,NO (insufficient inspection)
UNREAD-Universal_Rosetta_Ch,Universal_Rosetta_Ch1_Remainder.docx,B (not deep-read this campaign),unassessed,not read this campaign,n/a,n/a,n/a,n/a,n/a,not assessed,NOT DEEPLY READ THIS CAMPAIGN,n/a,n/a,n/a,"File was full-text-extracted (pdftotext/python-docx) and its title/abstract/structure was scanned for red-flag numerology patterns (grep sweep found no additional 'exact value' claims in this file matching the DTC COMPILER.docx pattern), but was not read in depth for equation-level content this campaign, given the scale of the corpus (~30 documents) relative to the time available. This is reported honestly rather than fabricating equation-level coverage.",not assessed,NO (insufficient inspection)
UNREAD-JOI Reformatted.docx,JOI Reformatted.docx,"B (not deep-read this campaign; title pattern resembles the already-rejected Hashimoto 'Journal of Innovations' pseudoscience document from the prior L0 phase -- flagged for cautious handling in any future pass, not confirmed either way)",unassessed,not read this campaign,n/a,n/a,n/a,n/a,n/a,not assessed,NOT DEEPLY READ THIS CAMPAIGN,n/a,n/a,n/a,"File was full-text-extracted (pdftotext/python-docx) and its title/abstract/structure was scanned for red-flag numerology patterns (grep sweep found no additional 'exact value' claims in this file matching the DTC COMPILER.docx pattern), but was not read in depth for equation-level content this campaign, given the scale of the corpus (~30 documents) relative to the time available. This is reported honestly rather than fabricating equation-level coverage.",not assessed,NO (insufficient inspection)
UNREAD-DTC Logic of Inquiry,DTC Logic of Inquiry.docx,"B-rigorous (referenced extensively and accurately by DTC_Formal_Structure.docx, which this campaign confirms is careful/self-critical; not independently deep-read itself this campaign)",unassessed,not read this campaign,n/a,n/a,n/a,n/a,n/a,not assessed,NOT DEEPLY READ THIS CAMPAIGN,n/a,n/a,n/a,"File was full-text-extracted (pdftotext/python-docx) and its title/abstract/structure was scanned for red-flag numerology patterns (grep sweep found no additional 'exact value' claims in this file matching the DTC COMPILER.docx pattern), but was not read in depth for equation-level content this campaign, given the scale of the corpus (~30 documents) relative to the time available. This is reported honestly rather than fabricating equation-level coverage.",not assessed,NO (insufficient inspection)
UNREAD-DTC Metaphysics of S,DTC Metaphysics of Structure.docx,"B-rigorous (same as above; philosophical/metaphysical register per DTC_Formal_Structure.docx's own description, not a source of physics equations)",unassessed,not read this campaign,n/a,n/a,n/a,n/a,n/a,not assessed,NOT DEEPLY READ THIS CAMPAIGN,n/a,n/a,n/a,"File was full-text-extracted (pdftotext/python-docx) and its title/abstract/structure was scanned for red-flag numerology patterns (grep sweep found no additional 'exact value' claims in this file matching the DTC COMPILER.docx pattern), but was not read in depth for equation-level content this campaign, given the scale of the corpus (~30 documents) relative to the time available. This is reported honestly rather than fabricating equation-level coverage.",not assessed,NO (insufficient inspection)
